# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
BD+24_1676	J.Melendez+,AAP, 515, L3, 2010	07 30 41.26	+24 05 10.2	6387	3.84	-2.54	-2.54		
BD+26_2606	J.P.Fulbright+,AJ, 120, 1841, 2000	14 49 02.36	+25 42 09.2	5875	4.1	-2.3	-2.46		
BD+26_2606	G.S.Bai+,AAP, 425, 671, 2004	14 49 02.36	+25 42 09.2	6086	4.1	-2.27	-2.27	0.82	
BD+26_2606	C.Charbonnel+,AAP, 442, 961, 2005	14 49 02.36	+25 42 09.2	6175	4.5	-2.52	-2.52		
BD+26_2606	R.G.Gratton+,AAP, 404, 187, 2003	14 49 02.36	+25 42 09.2	6101	4.34	-2.4	-2.48		
BD+26_2606	Y.Takeda+,PASJ, 63, S537, 2011	14 49 02.36	+25 42 09.2	5875	4.1	-2.3	-2.3		
BD+26_2606	R.Smiljanic+,AAP, 499, 103, 2009	14 49 02.36	+25 42 09.2	5875	4.31	-2.3	-2.3		
BD+26_2621	E.Arnone+,AAP, 430, 507, 2005	14 54 10.71	+25 33 48.9	6150	4		-2.86		
BD+26_2621	A.M.Boesgaard+,ApJ, 743, 140, 2011			6266	4.5	-2.69	-2.69	0.67	
BD+26_2621	A.Hosford+,AAP, 493, 601, 2009	14 54 10.71	+25 33 48.9	6233	4.49	-2.67	-2.69		
BD+26_2621	C.Charbonnel+,AAP, 442, 961, 2005	14 54 10.71	+25 33 48.9	6398	4	-2.84	-2.84		
BD+26_2621	A.Hosford+,AAP, 511, A47, 2010	14 54 10.71	+25 33 48.9	6225	4.47	-2.68			
BD+26_2621	J.A.Rich+,ApJ, 701, 1519, 2009	14 54 10.71	+25 33 48.9	6266	4.5	-2.69	-2.69	0.91	
BD+26_3578	A.M.Boesgaard+,ApJ, 743, 140, 2011			6158	3.94	-2.32	-2.32	0.57	
BD+26_3578	A.Hosford+,AAP, 493, 601, 2009			6148	3.76	-2.42	-2.39		
BD+26_3578	A.M.Boesgaard+,AJ, 117, 492, 1999			6269	4.04	-2.24	-2.07	0.83	
BD+26_3578	J.A.Rich+,ApJ, 701, 1519, 2009			6158	3.94	-2.32	-2.32	0.81	
BD+26_3578	G.Bihain+,AAP, 423, 777, 2004			6263	3.93	-2.36	-2.19		
BD+26_3578	E.Arnone+,AAP, 430, 507, 2005			6150	3.7		-2.49		
BD+26_3578	I.U.Roederer+,AJ, 147, 136, 2014			6060	3.75	-2.41	-2.6	0.4	0.3
BD+26_3578	C.Charbonnel+,AAP, 442, 961, 2005			6322	3.85	-2.42	-2.42		
BD+26_3578	G.Israelian+,AAP, 421, 649, 2004			6263	3.93	-2.36	-2.19		
BD+26_3578	A.E.GarciaPerez+,AAP, 504, 213, 2009			6239	3.87	-2.33	-2.33		
BD+28_2137	A.M.Boesgaard+,ApJ, 743, 140, 2011			6110	3.83	-1.97		0.58	
BD+28_2137	G.S.Bai+,AAP, 425, 671, 2004	12 36 39.45	+27 28 28.2	6135	4.25	-1.93		0.7	
BD+28_2137	C.Charbonnel+,AAP, 442, 961, 2005	12 36 39.45	+27 28 28.2	6150	4	-2.23	-2.23		
BD+29_2091	J.P.Fulbright+,AJ, 120, 1841, 2000	10 47 23.16	+28 23 55.9	5700	4.5	-1.8			
BD+29_2091	G.S.Bai+,AAP, 425, 671, 2004	10 47 23.16	+28 23 55.9	5648	4.6	-1.96		0.7	
BD+29_2091	R.G.Gratton+,AAP, 404, 187, 2003	10 47 23.16	+28 23 55.9	5784	4.46	-1.89			
BD+29_2091	B.E.Reddy+,MNRAS, 367, 1329, 2006	10 47 23.16	+28 23 55.9	5354	4.77	-1.98	-2.03	1.19	
BD+29_2091	R.Smiljanic+,AAP, 499, 103, 2009	10 47 23.16	+28 23 55.9	5700	4.48	-1.8			
BD+29_2091	T.V.Mishenina+,AAP, 396, 189, 2002	10 47 23.16	+28 23 55.9			-1.93			
BD+29_2091	J.Melendez+,AAP, 515, L3, 2010	10 47 23.16	+28 23 55.9	5974	4.58	-1.99			
BD+29_2091	T.V.Mishenina+,AAP, 370, 951, 2001	10 47 23.16	+28 23 55.9	5850	4.2	-1.03			
BD+2_3375	A.M.Boesgaard+,ApJ, 743, 140, 2011			6008	4.04	-2.22	-2.22	0.68	
BD+34_2476	A.M.Boesgaard+,ApJ, 743, 140, 2011			6248	3.72	-1.94		0.63	
BD+34_2476	G.S.Bai+,AAP, 425, 671, 2004	13 59 09.48	+33 51 39.4	6247	4.1	-1.94		0.74	
BD+34_2476	J.Melendez+,AAP, 515, L3, 2010	13 59 09.48	+33 51 39.4	6416	3.95	-2.07	-2.07		
BD+36_2964	A.M.Boesgaard+,ApJ, 743, 140, 2011			6152	3.85	-2.2	-2.2	0.96	
BD+36_2964	C.Charbonnel+,AAP, 442, 961, 2005	17 52 18.05	+36 24 06.6	6356	4	-2.57	-2.57		
BD+37_1458	A.M.Boesgaard+,ApJ, 743, 140, 2011			5492	3.85	-2.02	-2.02	0.59	
BD+37_1458	G.Israelian+,ApJ, 507, 805, 1998			5260	3	-2.4	-2.23	1.04	
BD+37_1458	R.G.Gratton+,AAP, 354, 169, 2000	06 16 01.50	+37 43 19.0	5399	3.33	-2	-2.07		
BD+37_1458	D.K.Lai+,ApJ, 667, 1185, 2007	06 16 01.50	+37 43 19.0	5332	3.13	-2.01			0.26
BD+37_1458	J.P.Fulbright+,ApJ, 595, 1154, 2003	06 16 01.50	+37 43 19.0	5400	3.13	-2.2	-2.08	0.75	
BD+37_1458	Y.Saito+,PASJ, 61, 549, 2009	06 16 01.50	+37 43 19.0	5520	3.32	-2.08	-2.12		
BD+37_1458	A.M.Boesgaard+,AJ, 117, 492, 1999	06 16 01.50	+37 43 19.0	5554	3.62	-2.06		0.9	
BD+37_1458	J.A.Rich+,ApJ, 701, 1519, 2009	06 16 01.50	+37 43 19.0	5500	3.41	-2.14	-2.14	1.18	
BD+37_1458	G.Bihain+,AAP, 423, 777, 2004	06 16 01.50	+37 43 19.0	5326	3.3	-2.17	-2		
BD+37_1458	J.P.Fulbright+,AJ, 120, 1841, 2000	06 16 01.50	+37 43 19.0	5200	3	-2	-2.15		
BD+37_1458	C.Charbonnel+,AAP, 442, 961, 2005	06 16 01.50	+37 43 19.0	5521	3.5	-2.03	-2.03		
BD+37_1458	G.Israelian+,AAP, 421, 649, 2004			5326	3.3	-2.17	-2		
BD+3_740	A.M.Boesgaard+,ApJ, 743, 140, 2011			6030	3.83	-2.95	-2.95	0.63	
BD+3_740	A.Hosford+,AAP, 493, 601, 2009			6344	4.44	-2.72	-2.77		
BD+3_740	J.A.Rich+,ApJ, 701, 1519, 2009			6030	3.83	-2.95	-2.95	0.87	
BD+3_740	G.Bihain+,AAP, 423, 777, 2004			6229	4.15	-2.82	-2.65		
BD+42_3607	A.M.Boesgaard+,ApJ, 743, 140, 2011			5655	3.81	-2.29	-2.29	0.75	
BD+42_3607	C.Charbonnel+,AAP, 442, 961, 2005	20 09 01.41	+42 51 54.9	5858	4.5	-2.12	-2.12		
BD+42_3607	R.G.Gratton+,AAP, 404, 187, 2003	20 09 01.41	+42 51 54.9	5965	4.58	-2.06	-2.11		
BD+42_3607	T.V.Mishenina+,AAP, 396, 189, 2002	20 09 01.41	+42 51 54.9						
BD+42_3607	J.Melendez+,AAP, 515, L3, 2010	20 09 01.41	+42 51 54.9	6021	4.59	-2.06	-2.06		
BD+42_3607	T.V.Mishenina+,AAP, 370, 951, 2001	20 09 01.41	+42 51 54.9	5850	4	-1.97			
