# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
BD+25_1858	B.E.Reddy+,MNRAS, 367, 1329, 2006	08 08 54.45	+24 37 26.3	5249	4.69	-0.84	-0.84	0.81	0.67	-0.07	-0.89
BD+26_3578	A.M.Boesgaard+,ApJ, 743, 140, 2011			6158	3.94	-2.32	-2.32				-2.32
BD+26_3578	A.Hosford+,AAP, 493, 601, 2009			6148	3.76	-2.42	-2.42				-2.39
BD+26_3578	A.M.Boesgaard+,AJ, 117, 492, 1999			6269	4.04	-2.24	-2.24				-2.07
BD+26_3578	J.A.Rich+,ApJ, 701, 1519, 2009			6158	3.94	-2.32	-2.32				-2.32
BD+26_3578	G.Bihain+,AAP, 423, 777, 2004			6263	3.93	-2.36	-2.36				-2.19
BD+26_3578	E.Arnone+,AAP, 430, 507, 2005			6150	3.7						-2.49
BD+26_3578	I.U.Roederer+,AJ, 147, 136, 2014			6060	3.75	-2.41	-2.41	0.3	<0.71	-0.13	-2.6
BD+26_3578	C.Charbonnel+,AAP, 442, 961, 2005			6322	3.85	-2.42	-2.42				-2.42
BD+26_3578	G.Israelian+,AAP, 421, 649, 2004			6263	3.93	-2.36	-2.36				-2.19
BD+26_3578	A.E.GarciaPerez+,AAP, 504, 213, 2009			6239	3.87	-2.33	-2.33				-2.33
BD+29_2356	I.U.Roederer+,AJ, 147, 136, 2014	13 01 52.42	+29 11 18.1	4710	1.75	-1.62	-1.62	-0.12	0.48	0.22	-1.73
BD+29_2356	L.Zhang+,ApJ, 706, 1095, 2009	13 01 52.42	+29 11 18.1	4795	2.03	-1.45	-1.45			-0.21	-1.28
BD+29_2356	M.N.Ishigaki+,ApJ, 753, 64, 2012	13 01 52.42	+29 11 18.1	4637	1.47	-1.65	-1.65				-1.65
BD+29_2356	M.Ishigaki+,PASJ, 62, 143, 2010	13 01 52.42	+29 11 18.1	4884	2.49	-1.44	-1.44			0.09	-1.44
BD+29_2356	I.U.Roederer+,ApJ, 711, 573, 2010	13 01 52.42	+29 11 18.1	4760	1.6	-1.55	-1.55	-0.13	0.38	0.03	-1.59
BD+30_2611	M.N.Ishigaki+,ApJ, 753, 64, 2012	15 06 53.80	+30 00 37.0	4209	1.01	-1.53	-1.53				-1.53
BD+30_2611	W.Aoki+,PASJ, 60, L7, 2008	15 06 53.80	+30 00 37.0	4250	0.5	-1.5	-1.5	-0.66	0.45		-1.46
BD+30_2611	J.P.Fulbright+,ApJ, 595, 1154, 2003	15 06 53.80	+30 00 37.0	4225	1.18	-1.3	-1.3				-1.6
BD+30_2611	M.Ishigaki+,PASJ, 62, 143, 2010	15 06 53.80	+30 00 37.0	4367	1.17	-1.32	-1.32			-0.09	-1.32
BD+30_2611	Y.Saito+,PASJ, 61, 549, 2009	15 06 53.80	+30 00 37.0	4202	0.81	-1.49	-1.49				-1.45
BD+30_2611	C.J.Hansen+,AAP, 545, A31, 2012	15 06 53.80	+30 00 37.0	4238	0.5	-1.2	-1.2		0.52	0.28	-1.2
